Phone_Number,State,Account_Length,Area_Code,International_Plan,Voice_Mail_Plan,Number_Vmail_Messages,Total_Day_Minutes,Total_Day_Calls,Total_Day_Charge,Total_Eve_Minutes,Total_Eve_Calls,Total_Eve_Charge,Total_Night_Minutes,Total_Night_Calls,Total_Night_Charge,Total_Intl_Minutes,Total_Intl_Calls,Total_Intl_Charge,Customer_Service_Calls,Churn
340-5121,CO,141,C415,No,No,0,126.9,98,21.57,180,62,15.3,140.8,128,6.34,8,2,2.16,1,No
370-7574,CO,121,C408,No,Yes,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,Yes
403-9733,WI,68,C415,No,No,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,No
355-7251,OK,125,C408,No,No,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12,8,3.24,1,No
359-5893,ID,174,C408,No,No,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,No
405-3371,CA,116,C415,No,Yes,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,No
344-5117,MN,74,C510,No,Yes,33,193.7,91,32.93,246.1,96,20.92,138,92,6.21,14.6,3,3.94,2,No
332-8160,SD,149,C408,No,Yes,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,No
359-4081,NC,38,C408,No,No,0,131.2,98,22.3,162.9,97,13.85,159,106,7.15,8.2,6,2.21,2,No
352-8305,WA,40,C415,No,Yes,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,No
329-9847,WY,43,C415,Yes,No,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,No
365-9011,MN,113,C408,Yes,No,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,No
338-9472,UT,126,C408,No,No,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,No
374-8042,TX,150,C510,No,No,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,Yes
359-1231,NJ,138,C408,No,No,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,No
413-7170,MN,162,C510,No,Yes,46,224.9,97,38.23,188.2,84,16,254.6,61,11.46,12.1,2,3.27,0,No
415-2935,NM,147,C510,No,No,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8,4,2.16,3,No
399-4246,NV,90,C415,No,No,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,No
362-5889,HI,85,C415,No,No,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12,3,3.24,0,No
350-8921,MN,50,C415,No,No,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,No
374-5353,DC,82,C415,No,No,0,300.3,109,51.05,181,100,15.39,270.1,73,12.15,11.7,4,3.16,0,Yes
360-1171,NY,144,C408,No,No,0,61.6,117,10.47,77.1,85,6.55,173,99,7.79,8.2,7,2.21,4,Yes
355-8887,MN,46,C415,No,No,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,No
333-1967,MD,70,C408,No,No,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15,2,4.05,1,No
354-4577,WV,144,C415,No,No,0,201.1,99,34.19,303.5,74,25.8,224,119,10.08,13.2,2,3.56,1,No
331-7425,OR,116,C415,Yes,No,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,No
419-2637,CO,55,C408,No,Yes,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11,2,2.97,3,No
411-1530,GA,70,C415,No,Yes,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,No
395-3026,TX,106,C510,No,No,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,Yes
388-6441,VT,128,C510,No,Yes,29,179.3,104,30.48,225.9,86,19.2,323,78,14.54,8.6,7,2.32,0,No
402-1251,IN,94,C408,No,No,0,157.9,105,26.84,155,101,13.18,189.6,84,8.53,8,5,2.16,4,Yes
412-9997,WV,111,C510,No,No,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12,2,3.24,1,No
346-7302,KY,74,C415,No,Yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,No
358-9095,NJ,128,C415,No,No,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,Yes
400-9770,DC,82,C510,No,No,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3,1,No
334-1275,LA,155,C415,No,No,0,203.4,100,34.58,190.9,104,16.23,196,119,8.82,8.9,4,2.4,0,Yes
340-4953,AR,80,C415,No,No,0,124.3,100,21.13,173,107,14.71,253.2,62,11.39,7.9,9,2.13,1,No
400-9510,ME,78,C415,No,No,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,No
387-6103,AZ,90,C415,No,No,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,No
366-4467,AK,104,C408,No,No,0,278.4,106,47.33,81,113,6.89,163.2,137,7.34,9.8,5,2.65,1,No
370-3450,MT,73,C415,No,No,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13,4,3.51,0,No
327-3954,AZ,99,C415,No,No,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,No
355-6291,MS,120,C408,No,No,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,Yes
362-9748,ID,77,C415,No,No,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,Yes
379-6506,IA,98,C510,No,Yes,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,No
347-7741,MA,108,C415,No,No,0,178.3,137,30.31,189,76,16.07,129.1,102,5.81,14.6,5,3.94,0,No
354-3783,VT,135,C415,No,No,0,151.7,82,25.79,119,105,10.12,180,100,8.1,10.5,6,2.84,0,No
401-7594,KY,95,C408,No,No,0,135,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,No
397-4976,IN,122,C408,No,No,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,No
334-2577,AZ,95,C408,No,No,0,238.1,65,40.48,187.2,98,15.91,190,115,8.55,11.8,4,3.19,4,No
400-3637,MI,36,C510,No,Yes,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9,6,2.43,2,No
383-4361,NM,93,C510,No,Yes,21,117.9,131,20.04,164.5,115,13.98,217,86,9.76,9.8,3,2.65,1,No
371-4306,CO,141,C415,No,Yes,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,No
403-4298,UT,157,C408,No,No,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,No
409-3786,MI,120,C408,No,No,0,165,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,No
337-4697,MA,103,C415,No,No,0,185,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,No
383-1509,AL,98,C408,No,No,0,161,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,No
359-9794,DE,125,C408,No,No,0,126.7,108,21.54,206,90,17.51,247.8,114,11.15,13.3,7,3.59,1,No
407-7035,AZ,63,C415,No,No,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,No
363-1069,ME,36,C510,Yes,Yes,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20,6,5.4,0,Yes
391-4652,NJ,64,C510,No,No,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,No
355-6837,NV,74,C415,No,No,0,282.5,114,48.03,219.9,48,18.69,170,115,7.65,9.4,4,2.54,1,Yes
409-1244,MO,112,C510,No,Yes,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10,3,2.7,2,No
328-3266,ID,97,C408,No,No,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,No
352-7072,NE,46,C408,No,No,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9,13.1,7,3.54,1,No
370-7550,TX,41,C408,No,Yes,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,No
369-5526,MD,121,C510,No,No,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,No
329-4391,MS,193,C415,No,No,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,No
408-4195,NV,130,C510,No,No,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,No
354-4445,AZ,85,C408,No,No,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12,3,3.24,1,No
335-4858,MS,162,C415,No,No,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,Yes
414-8718,MS,61,C510,No,Yes,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,Yes
409-5939,TX,92,C408,No,No,0,91.7,90,15.59,193.7,123,16.46,175,86,7.88,9.2,4,2.48,2,No
331-4902,NE,131,C408,No,Yes,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,No
353-6870,NE,90,C415,No,No,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,No
355-2909,CA,75,C408,No,No,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,No
390-6101,NJ,78,C415,No,No,0,231,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,No
400-3446,TX,82,C408,No,No,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,No
411-5859,AR,163,C408,No,No,0,197,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,No
387-2919,AL,91,C510,Yes,No,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,No
374-8525,NY,75,C415,No,Yes,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,No
379-5592,FL,91,C510,No,No,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12,3,3.24,3,No
345-8237,AK,127,C510,No,Yes,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,No
422-6690,NV,113,C415,No,Yes,23,205,101,34.85,152,60,12.92,158.6,59,7.14,10.2,5,2.75,2,No
346-2359,DE,110,C510,No,No,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,No
374-3534,MD,120,C415,No,Yes,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,No
381-4756,MI,157,C415,No,Yes,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,No
390-2805,VT,103,C510,No,No,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,No
390-2390,VT,117,C408,Yes,No,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,Yes
419-9097,MI,140,C415,No,No,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,No
386-7281,WA,127,C408,No,No,0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,No
380-3561,UT,83,C408,Yes,No,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,No
390-8760,LA,121,C408,No,No,0,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,1,No
366-6730,RI,145,C408,No,Yes,43,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3,2,No
395-5285,IA,113,C408,No,No,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,No
354-3436,NE,117,C415,No,No,0,102.8,119,17.48,206.7,91,17.57,299,105,13.46,10.1,7,2.73,1,No
336-7600,OH,65,C408,No,No,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,No
383-6293,RI,56,C415,No,No,0,226,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,1,No
362-4596,OK,96,C415,No,No,0,260.4,115,44.27,146,46,12.41,269.5,87,12.13,11.5,4,3.11,5,No
401-3926,LA,151,C408,No,No,0,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,0,No
370-9116,OH,83,C415,No,No,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,Yes
328-6289,VA,139,C510,No,Yes,23,157.6,129,26.79,247,96,21,259.2,112,11.66,13.7,2,3.7,0,No
350-9994,MO,6,C510,No,No,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,No
351-4616,FL,115,C510,No,Yes,24,142.1,124,24.16,183.4,129,15.59,164.8,114,7.42,9.6,4,2.59,1,No
360-5779,SC,87,C415,No,No,0,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0,No
417-4885,VA,141,C415,No,No,0,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12,6,3.24,0,No
406-4710,IA,141,C510,No,Yes,36,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,3,No
409-8743,MI,62,C415,No,No,0,98.9,103,16.81,135.4,122,11.51,236.6,82,10.65,12.2,1,3.29,1,No
335-4584,OK,146,C415,No,No,0,206.3,151,35.07,148.6,89,12.63,167.2,91,7.52,6.1,3,1.65,1,No
361-9845,DE,92,C415,No,Yes,33,243.1,92,41.33,213.8,92,18.17,228.7,104,10.29,12.1,2,3.27,2,No
366-5699,GA,185,C510,No,Yes,31,189.8,126,32.27,163.3,133,13.88,264.8,126,11.92,7.5,3,2.03,1,No
329-9364,DC,148,C415,No,No,0,202,102,34.34,243.2,128,20.67,261.3,90,11.76,10.9,3,2.94,1,No
390-7434,AZ,94,C408,No,Yes,38,170.1,124,28.92,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46,1,No
404-9680,AL,32,C510,No,No,0,230.9,87,39.25,187.4,90,15.93,154,53,6.93,6.3,2,1.7,0,No
338-9398,CO,68,C408,No,No,0,237.1,105,40.31,223.5,105,19,97.4,79,4.38,13.2,2,3.56,1,No
394-2445,NH,64,C408,No,Yes,27,182.1,91,30.96,169.7,98,14.42,164.7,86,7.41,10.6,5,2.86,2,No
381-2709,NM,25,C415,No,No,0,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84,3,No
397-5060,OR,65,C415,No,No,0,116.8,87,19.86,178.9,93,15.21,182.4,150,8.21,14.1,2,3.81,1,No
415-2393,LA,179,C408,No,No,0,219.2,92,37.26,149.4,125,12.7,244.7,104,11.01,6.1,5,1.65,0,No
377-1765,NE,94,C415,No,No,0,252.6,104,42.94,169,125,14.37,170.9,106,7.69,11.1,7,3,2,No
409-2111,MN,62,C415,No,No,0,147.1,91,25.01,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29,0,No
401-3170,MI,127,C415,No,No,0,202.1,103,34.36,229.4,86,19.5,195.2,113,8.78,11.5,3,3.11,2,No
405-5681,AR,116,C408,No,No,0,173.5,93,29.5,194.1,76,16.5,208,112,9.36,16.2,10,4.37,3,No
411-4582,KS,70,C408,No,No,0,232.1,122,39.46,292.3,112,24.85,201.2,112,9.05,0,0,0,3,No
355-5009,WV,94,C510,Yes,Yes,23,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57,4,No
372-3750,AK,126,C415,No,No,0,58.2,94,9.89,138.7,118,11.79,136.8,91,6.16,11.9,1,3.21,5,Yes
405-2888,NY,67,C408,No,Yes,36,115.6,111,19.65,237.7,94,20.2,169.9,103,7.65,9.9,12,2.67,2,No
361-3337,NH,19,C408,No,No,0,186.1,98,31.64,254.3,57,21.62,214,127,9.63,14.6,7,3.94,2,No
350-1639,VA,170,C510,Yes,No,0,259.9,68,44.18,245,122,20.83,134.4,121,6.05,8.4,3,2.27,3,No
333-3221,NM,73,C415,No,No,0,214.3,145,36.43,268.5,135,22.82,241.2,92,10.85,10.8,13,2.92,1,No
422-1471,NY,106,C408,No,No,0,158.7,74,26.98,64.3,139,5.47,198.5,103,8.93,10.2,4,2.75,1,No
399-7865,AZ,93,C415,No,No,0,271.6,71,46.17,229.4,108,19.5,77.3,121,3.48,10.9,3,2.94,2,No
373-4819,WY,164,C510,No,No,0,160.6,111,27.3,163.2,126,13.87,187.1,112,8.42,9,3,2.43,1,No
338-6981,WA,51,C408,No,No,0,232.4,109,39.51,187.4,95,15.93,231.2,107,10.4,9.1,3,2.46,1,No
418-4365,CO,107,C415,No,No,0,133.8,85,22.75,180.5,94,15.34,112.2,115,5.05,8.9,4,2.4,0,No
359-5461,TX,130,C415,No,No,0,176.9,109,30.07,90.7,104,7.71,238,69,10.71,9.5,2,2.57,1,No
375-3586,KY,80,C408,No,No,0,209.9,74,35.68,195.1,77,16.58,208.2,119,9.37,8.8,4,2.38,2,No
407-8376,MT,94,C415,No,No,0,137.5,118,23.38,203.2,88,17.27,150,131,6.75,13.4,2,3.62,0,No
408-6496,OK,118,C408,No,Yes,23,289.5,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,4,2.57,1,No
385-7688,MD,117,C415,No,Yes,23,198.1,86,33.68,177,86,15.05,180.5,92,8.12,6.8,6,1.84,1,No
332-6934,TN,78,C415,No,No,0,149.7,119,25.45,182.2,115,15.49,261.5,126,11.77,9.7,8,2.62,0,No
378-3625,TX,208,C510,No,No,0,326.5,67,55.51,176.3,113,14.99,181.7,102,8.18,10.7,6,2.89,2,Yes
353-7292,ME,131,C510,Yes,Yes,26,292.9,101,49.79,199.7,97,16.97,255.3,127,11.49,13.8,7,3.73,4,Yes
399-6786,DC,63,C408,No,No,0,83,64,14.11,177,106,15.05,245.7,89,11.06,13,3,3.51,0,No
358-3261,MN,53,C415,No,Yes,24,145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,13.1,5,3.54,3,No
377-9932,DE,62,C408,No,No,0,182.3,101,30.99,328.2,93,27.9,245,131,11.03,11.2,1,3.02,2,No
397-4030,MD,97,C415,No,No,0,218,86,37.06,184,94,15.64,240.5,110,10.82,6.4,8,1.73,3,No
367-1062,MI,105,C510,No,No,0,140.6,109,23.9,178.6,51,15.18,217,83,9.76,6.8,3,1.84,2,No
341-8467,WA,157,C415,No,No,0,152.7,105,25.96,257.5,80,21.89,198.1,93,8.91,9.4,4,2.54,1,No
339-9453,MO,66,C415,No,Yes,36,106.7,76,18.14,209.8,77,17.83,190.4,117,8.57,12.1,2,3.27,1,No
344-3388,IN,122,C415,No,No,0,243.8,98,41.45,83.9,72,7.13,179.8,84,8.09,13.7,8,3.7,2,No
375-8013,OR,38,C415,No,No,0,194.4,94,33.05,186.7,95,15.87,223.3,90,10.05,10.8,5,2.92,3,No
408-4142,MD,106,C510,No,No,0,213.9,95,36.36,151.9,70,12.91,260.1,124,11.7,12.2,5,3.29,3,No
386-3671,RI,99,C510,No,No,0,217.2,112,36.92,246.7,89,20.97,226.1,89,10.17,15.8,7,4.27,3,No
411-2284,LA,99,C415,No,No,0,241.1,72,40.99,155.6,98,13.23,188.2,109,8.47,11.6,10,3.13,1,No
346-7795,AZ,144,C510,Yes,No,0,203.5,100,34.6,247.6,103,21.05,194.3,94,8.74,11.9,11,3.21,0,No
333-5609,PA,82,C415,No,Yes,24,155.2,131,26.38,244.5,106,20.78,122.4,68,5.51,10.7,3,2.89,1,No
405-1842,AZ,86,C408,No,Yes,31,167.6,139,28.49,113,118,9.61,246.9,121,11.11,12.2,6,3.29,1,No
366-6345,FL,70,C510,Yes,No,0,226.7,98,38.54,228.1,115,19.39,73.2,93,3.29,17.6,4,4.75,2,Yes
